runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_F                 	717009947	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471643	5	5	5	5	5	5
num_rel               	752471643	1	1	1	1	1	1
num_rel_ret           	752471643	1	0	1	1	1	1
recip_rank            	752471643	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471643	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471643	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471643	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	752471668	5	5	5	5	5	5
num_rel               	752471668	1	1	1	1	1	1
num_rel_ret           	752471668	1	0	1	1	1	1
recip_rank            	752471668	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471668	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471668	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471668	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	752471670	5	5	5	5	5	5
num_rel               	752471670	1	1	1	1	1	1
num_rel_ret           	752471670	1	1	1	1	1	1
recip_rank            	752471670	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471670	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471670	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471670	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471697	5	5	5	5	5	5
num_rel               	752471697	1	1	1	1	1	1
num_rel_ret           	752471697	1	0	1	1	1	1
recip_rank            	752471697	1.0000	0.0000	0.2500	1.0000	0.5000	1.0000
set_P                 	752471697	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471697	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471697	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	752471701	5	5	5	5	5	5
num_rel               	752471701	1	1	1	1	1	1
num_rel_ret           	752471701	1	1	1	1	1	1
recip_rank            	752471701	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471701	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471701	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471701	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471705	5	5	5	5	5	5
num_rel               	752471705	1	1	1	1	1	1
num_rel_ret           	752471705	1	1	1	1	1	1
recip_rank            	752471705	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471705	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471705	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471705	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471732	5	5	5	5	5	5
num_rel               	752471732	1	1	1	1	1	1
num_rel_ret           	752471732	1	0	1	1	1	1
recip_rank            	752471732	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471732	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471732	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471732	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	752471736	5	5	5	5	5	5
num_rel               	752471736	1	1	1	1	1	1
num_rel_ret           	752471736	1	1	1	1	1	1
recip_rank            	752471736	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
