runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_rel               	313326741	1	1	1	1	1	1
num_rel_ret           	313326741	1	0	1	1	1	1
recip_rank            	313326741	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326741	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326741	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326741	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326743	5	5	5	5	5	5
num_rel               	313326743	1	1	1	1	1	1
num_rel_ret           	313326743	1	0	1	1	1	1
recip_rank            	313326743	1.0000	0.0000	0.2500	1.0000	0.3333	1.0000
set_P                 	313326743	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326743	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326743	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	36783348	5	5	5	5	5	5
num_rel               	36783348	1	1	1	1	1	1
num_rel_ret           	36783348	1	0	1	1	0	0
recip_rank            	36783348	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	36783348	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	36783348	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	36783348	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	36783356	5	5	5	5	5	5
num_rel               	36783356	1	1	1	1	1	1
num_rel_ret           	36783356	1	0	1	1	0	1
recip_rank            	36783356	1.0000	0.0000	0.5000	1.0000	0.0000	1.0000
set_P                 	36783356	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	36783356	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	36783356	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	36783413	5	5	5	5	5	5
num_rel               	36783413	1	1	1	1	1	1
num_rel_ret           	36783413	1	0	1	1	0	1
recip_rank            	36783413	0.3333	0.0000	0.2500	0.5000	0.0000	0.3333
set_P                 	36783413	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	36783413	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	36783413	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	36783474	5	5	5	5	5	5
num_rel               	36783474	1	1	1	1	1	1
num_rel_ret           	36783474	1	0	1	1	0	0
recip_rank            	36783474	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	36783474	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	36783474	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	36783474	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	419289932	5	5	5	5	5	5
num_rel               	419289932	1	1	1	1	1	1
num_rel_ret           	419289932	0	0	0	0	0	0
recip_rank            	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	419289932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	456839985	5	5	5	5	5	5
num_rel               	456839985	1	1	1	1	1	1
num_rel_ret           	456839985	0	0	0	0	0	0
recip_rank            	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	456839985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	463583857	5	5	5	5	5	5
num_rel               	463583857	1	1	1	1	1	1
num_rel_ret           	463583857	1	0	1	1	0	1
recip_rank            	463583857	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_P                 	463583857	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	463583857	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	463583857	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
