runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
ndcg_cut_01            	110809049	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	110809049	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	110809049	1.0000	0.8671	0.8671	0.8671	0.8671	0.8671
ndcg_cut_04            	110809049	0.8973	0.7780	0.7780	0.7780	0.7780	0.7780
ndcg_cut_05            	110809049	0.9060	0.7123	0.7123	0.7123	0.7123	0.7123
ndcg_cut_06            	110809049	0.9060	0.7123	0.7123	0.7123	0.7123	0.7123
ndcg_cut_07            	110809049	0.9060	0.7123	0.7123	0.7123	0.7123	0.7123
ndcg_cut_08            	110809049	0.9060	0.7123	0.7123	0.7812	0.7123	0.7123
ndcg_cut_09            	110809049	0.9060	0.7123	0.7780	0.8469	0.7123	0.7123
ndcg_cut_10           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7123
ndcg_cut_11           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7123
ndcg_cut_12           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7713
ndcg_cut_13           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7713
ndcg_cut_14           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7713
ndcg_cut_15           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7713
ndcg_cut_16           	110809049	0.9060	0.7123	0.8412	0.8469	0.7123	0.7713
ndcg_cut_17           	110809049	0.9583	0.7123	0.8412	0.8469	0.7123	0.8237
ndcg_cut_18           	110809049	0.9583	0.7123	0.8412	0.8469	0.7123	0.8237
ndcg_cut_19           	110809049	0.9583	0.7123	0.8412	0.8469	0.7123	0.8237
ndcg_cut_20           	110809049	0.9583	0.7123	0.8412	0.8469	0.7123	0.8237
set_P                 	110809049	0.2500	0.1000	0.2000	0.2000	0.1000	0.2000
set_recall            	110809049	1.0000	0.4000	0.8000	0.8000	0.4000	0.8000
set_F                 	110809049	0.4000	0.1600	0.3200	0.3200	0.1600	0.3200
num_ret               	1151263973	20	20	20	20	20	20
num_rel               	1151263973	7	7	7	7	7	7
num_rel_ret           	1151263973	5	5	4	6	5	4
map                   	1151263973	0.5063	0.5570	0.5000	0.6109	0.4868	0.4368
ndcg_cut_01            	1151263973	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1151263973	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1151263973	1.0000	1.0000	1.0000	1.0000	0.7654	0.7654
ndcg_cut_04            	1151263973	0.8319	0.8319	0.8319	0.8319	0.8048	0.8048
ndcg_cut_05            	1151263973	0.7227	0.7227	0.7227	0.7227	0.6992	0.6992
ndcg_cut_06            	1151263973	0.6816	0.6816	0.6816	0.7385	0.6594	0.6594
ndcg_cut_07            	1151263973	0.6471	0.6471	0.6471	0.7011	0.6260	0.6260
ndcg_cut_08            	1151263973	0.6471	0.6471	0.6950	0.7011	0.6260	0.6260
ndcg_cut_09            	1151263973	0.6471	0.6928	0.6950	0.7011	0.6260	0.6260
ndcg_cut_10           	1151263973	0.6471	0.6928	0.6950	0.7011	0.6260	0.6260
ndcg_cut_11           	1151263973	0.6471	0.7351	0.6950	0.7011	0.6684	0.6260
ndcg_cut_12           	1151263973	0.6471	0.7351	0.6950	0.7011	0.6684	0.6260
ndcg_cut_13           	1151263973	0.6471	0.7351	0.6950	0.7011	0.6684	0.6659
ndcg_cut_14           	1151263973	0.6471	0.7351	0.6950	0.7011	0.6684	0.6659
