runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
recip_rank            	1814089344	1.0000	0.3333	0.5000	1.0000	0.3333	0.5000
set_P                 	1814089344	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1814089344	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1814089344	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	1851792087	5	5	5	5	5	5
num_rel               	1851792087	1	1	1	1	1	1
num_rel_ret           	1851792087	1	1	1	1	1	1
recip_rank            	1851792087	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	1851792087	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	1851792087	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	1851792087	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186279	5	5	5	5	5	5
num_rel               	187186279	1	1	1	1	1	1
num_rel_ret           	187186279	1	0	1	1	1	1
recip_rank            	187186279	1.0000	0.0000	0.3333	1.0000	0.5000	1.0000
set_P                 	187186279	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186279	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186279	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	187186281	5	5	5	5	5	5
num_rel               	187186281	1	1	1	1	1	1
num_rel_ret           	187186281	1	1	1	1	1	1
recip_rank            	187186281	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186281	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186281	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186281	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186306	5	5	5	5	5	5
num_rel               	187186306	1	1	1	1	1	1
num_rel_ret           	187186306	1	0	0	1	1	1
recip_rank            	187186306	1.0000	0.0000	0.0000	1.0000	0.5000	1.0000
set_P                 	187186306	0.2000	0.0000	0.0000	0.2000	0.2000	0.2000
set_recall            	187186306	1.0000	0.0000	0.0000	1.0000	1.0000	1.0000
set_F                 	187186306	0.3333	0.0000	0.0000	0.3333	0.3333	0.3333
num_ret               	187186310	5	5	5	5	5	5
num_rel               	187186310	1	1	1	1	1	1
num_rel_ret           	187186310	1	1	1	1	1	1
recip_rank            	187186310	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186310	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186310	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186310	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186335	5	5	5	5	5	5
num_rel               	187186335	1	1	1	1	1	1
num_rel_ret           	187186335	1	1	1	1	1	1
recip_rank            	187186335	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186335	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186335	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186335	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186337	5	5	5	5	5	5
num_rel               	187186337	1	1	1	1	1	1
num_rel_ret           	187186337	1	1	1	1	1	1
recip_rank            	187186337	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186337	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186337	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186337	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186341	5	5	5	5	5	5
num_rel               	187186341	1	1	1	1	1	1
num_rel_ret           	187186341	1	1	1	1	1	1
recip_rank            	187186341	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186341	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186341	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
